Customer_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Monthly_Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
26747,F,Married,2,College Graduate,No,87000,114874,6,1,Urban,Y
27155,M,Married,2,College Graduate,Yes,90000,204311,12,1,Rural,Y
14368,M,Married,0,College Graduate,No,50000,141478,48,1,Urban,N
21632,M,Single,0,College Graduate,No,68000,90888,60,0,Rural,Y
24602,F,Single,3+,College Graduate,Yes,78000,347320,72,1,Urban,N
21961,M,Married,1,College Graduate,No,69700,178283,108,1,Rural,N
17793,M,Single,0,College Graduate,No,58000,249759,96,1,Urban,Y
25361,M,Married,0,College Graduate,Yes,80000,404426,24,0,Rural,Y
2322,M,Married,3+,High School Graduate,No,24996,302395,24,0,Urban,Y
5286,M,Married,0,High School Graduate,No,32000,444823,84,1,Urban,N
2131,F,Married,0,College Graduate,No,24000,150944,36,1,Rural,N
16615,F,Married,0,College Graduate,No,55000,416404,36,0,Urban,Y
15580,F,Married,0,College Graduate,No,53000,421974,108,1,Urban,Y
18471,M,Married,0,College Graduate,No,60000,383929,60,1,Rural,N
11139,M,Married,1,College Graduate,No,44000,466175,84,1,Urban,Y
22097,M,Single,1,College Graduate,Yes,70000,214702,12,1,Rural,N
27895,M,Married,0,College Graduate,No,95000,160994,60,0,Urban,Y
14469,F,Married,1,College Graduate,No,50000,109800,120,1,Urban,Y
3857,M,Single,0,High School Graduate,No,30000,443029,96,1,Urban,Y
19677,M,Single,0,College Graduate,Yes,62000,470757,96,1,Urban,Y
7685,M,Married,0,College Graduate,No,36895,426759,24,0,Rural,Y
26036,M,Single,1,College Graduate,No,84000,280081,60,1,Urban,Y
65,M,Single,0,High School Graduate,No,9600,461520,12,1,Rural,Y
17280,M,Single,3+,College Graduate,Yes,56952,69445,108,1,Rural,Y
23822,F,Single,0,College Graduate,No,75000,143026,84,1,Rural,Y
11496,F,Married,1,College Graduate,No,45000,180991,36,0,Urban,Y
26883,M,Single,0,College Graduate,No,88000,232099,48,0,Urban,Y
13066,F,Married,2,College Graduate,No,48000,455952,60,1,Rural,Y
8843,F,Single,0,College Graduate,No,39880,187922,108,1,Urban,Y
11646,F,Single,0,College Graduate,No,45000,339136,84,1,Rural,Y
17693,M,Married,0,College Graduate,Yes,58000,292762,12,1,Urban,Y
20008,M,Married,0,College Graduate,Yes,63000,116222,120,1,Rural,Y
1017,M,Married,1,College Graduate,No,19200,463281,24,1,Urban,Y
5780,F,Married,3+,High School Graduate,No,33000,372971,84,1,Urban,N
16065,M,Single,0,College Graduate,Yes,54000,297487,48,1,Urban,Y
28943,F,Married,0,College Graduate,No,100500,287495,36,0,Rural,N
1450,M,Single,2,High School Graduate,No,21600,152490,6,0,Rural,Y
14204,M,Married,2,College Graduate,No,50000,92710,24,1,Rural,Y
19101,F,Single,0,College Graduate,No,60000,331350,84,0,Rural,Y
31166,M,Married,3+,College Graduate,No,130000,177898,24,1,Urban,Y
25209,F,Single,0,College Graduate,Yes,80000,115620,108,0,Rural,N
25275,M,Single,0,College Graduate,Yes,80000,468972,84,0,Rural,Y
7754,M,Married,0,High School Graduate,No,37000,237757,108,1,Rural,Y
3246,M,Single,2,High School Graduate,No,28000,354191,72,1,Urban,N
26973,M,Married,0,College Graduate,Yes,89000,381173,36,1,Rural,Y
3726,M,Married,2,College Graduate,No,29004,183391,12,0,Urban,N
2384,M,Single,2,High School Graduate,No,25000,274762,24,1,Urban,Y
7094,M,Married,0,College Graduate,No,36000,120737,6,1,Rural,Y
5342,F,Single,0,High School Graduate,No,32000,202068,36,1,Rural,Y
10525,M,Single,0,College Graduate,No,42179,,120,0,Urban,N
6870,M,Single,1,High School Graduate,No,35000,296913,60,1,Rural,Y
24679,M,Single,2,College Graduate,Yes,78000,225019,84,1,Rural,Y
11534,M,Single,1,College Graduate,No,45000,150408,84,1,Rural,Y
28470,M,Married,0,College Graduate,No,98603,221599,60,1,Rural,Y
18718,F,Married,1,College Graduate,No,60000,429535,120,1,Urban,Y
7740,F,Single,1,College Graduate,No,37000,396522,72,1,Urban,N
31389,F,Married,2,College Graduate,No,135000,352726,24,1,Rural,N
24465,F,Single,0,College Graduate,Yes,77000,394054,108,1,Rural,N
9310,F,Married,3+,College Graduate,No,40000,350439,72,0,Urban,Y
21563,M,Married,0,College Graduate,No,68000,445626,36,1,Urban,N
6747,F,Single,0,College Graduate,No,35000,137354,108,1,Urban,Y
9681,F,Married,0,College Graduate,,40777,498872,84,1,Rural,N
21067,F,Married,2,College Graduate,Yes,66000,168942,12,1,Urban,Y
1925,M,Single,1,College Graduate,No,24000,149802,96,1,Urban,N
13838,F,Married,0,College Graduate,No,50000,439824,96,1,Urban,Y
27675,F,Single,3+,College Graduate,Yes,93000,157692,24,1,Rural,N
9802,M,Single,2,College Graduate,No,41000,330837,72,1,Urban,Y
23488,M,Single,0,College Graduate,Yes,74000,497904,60,1,Rural,Y
8420,M,Married,2,College Graduate,No,38400,352831,24,1,Urban,N
21971,M,Single,0,College Graduate,Yes,69805,463221,36,1,Urban,Y
3411,M,Married,2,High School Graduate,No,28590,211532,60,1,Rural,Y
4379,F,Married,0,College Graduate,No,30000,275284,6,1,Rural,N
3476,F,Single,0,High School Graduate,No,28800,478312,96,1,Urban,Y
6788,F,Married,0,College Graduate,No,35000,177826,84,0,Urban,Y
6049,M,Single,0,High School Graduate,No,33996,198913,96,1,Rural,Y
17361,F,Single,2,College Graduate,No,57000,100040,108,1,Rural,Y
361,M,Single,2,High School Graduate,No,14400,312297,48,1,Rural,N
13879,F,Married,0,College Graduate,No,50000,442184,120,1,Rural,N
31481,M,Single,3+,College Graduate,No,137000,389567,36,0,Rural,Y
15472,M,Single,1,College Graduate,Yes,53000,195240,6,1,Urban,N
30822,F,Single,1,College Graduate,Yes,123000,77523,72,0,Rural,N
13141,M,Single,0,College Graduate,No,48000,,84,1,Urban,Y
18334,F,Married,3+,College Graduate,No,60000,163203,96,1,Urban,Y
22254,M,Married,2,College Graduate,No,70000,396261,12,0,Urban,Y
25614,F,Married,0,College Graduate,Yes,81000,456519,84,1,Urban,Y
8920,F,Married,3+,College Graduate,No,39996,281314,36,0,Urban,Y
28983,M,Married,3+,College Graduate,No,101000,80926,108,1,Urban,Y
18668,M,Single,0,College Graduate,Yes,60000,370130,96,1,Urban,Y
2685,F,Married,2,High School Graduate,No,25830,199606,12,0,Urban,N
21239,M,Single,1,College Graduate,No,66240,72834,72,1,Rural,N
17402,M,Married,0,College Graduate,Yes,57000,402193,24,1,Rural,Y
20333,M,Single,0,College Graduate,Yes,64200,442118,12,0,Rural,Y
26743,M,Single,0,College Graduate,Yes,87000,83584,6,0,Rural,Y
4588,M,Married,3+,College Graduate,No,30000,223785,36,1,Urban,Y
26663,M,Married,1,College Graduate,No,86400,58691,72,1,Urban,N
21818,M,Married,3+,College Graduate,Yes,69000,467476,84,1,Urban,Y
8521,F,Married,1,College Graduate,No,39000,194805,24,1,Urban,N
15005,F,Married,0,College Graduate,Yes,51996,149891,12,1,Urban,Y
18651,M,Married,3+,College Graduate,No,60000,359253,6,1,Rural,Y
6042,F,Single,0,High School Graduate,No,33990,52027,36,0,Rural,Y
696,F,Married,0,College Graduate,No,17640,436139,6,1,Rural,Y
18665,F,Single,0,College Graduate,No,60000,84984,48,1,Rural,N
18243,F,Single,1,College Graduate,No,60000,70457,6,0,Urban,N
29467,M,Single,0,College Graduate,Yes,107000,392752,120,1,Rural,N
28378,F,Married,0,College Graduate,No,98000,85952,96,1,Urban,Y
12000,F,Single,2,College Graduate,No,45300,175137,72,0,Rural,Y
10943,F,Single,0,College Graduate,No,43949,348186,60,1,Rural,N
9063,F,Single,0,College Graduate,No,40000,409500,36,1,Rural,N
15743,M,Single,0,College Graduate,No,54000,399393,36,1,Urban,Y
7210,M,Married,0,High School Graduate,No,36000,211273,60,1,Urban,Y
10119,M,Married,2,College Graduate,No,42000,196510,6,1,Urban,Y
5166,F,Married,2,College Graduate,No,32000,,72,1,Urban,Y
2056,F,Single,0,High School Graduate,No,24000,137035,6,1,Rural,N
26085,M,Married,0,College Graduate,No,84000,247409,84,1,Urban,N
29928,M,Married,0,College Graduate,No,112000,428674,84,1,Rural,Y
29226,M,Married,1,College Graduate,No,104740,277374,72,1,Rural,Y
9570,M,Married,0,College Graduate,No,40000,82989,36,1,Rural,N
5589,M,Married,3+,High School Graduate,No,32730,379896,24,1,Rural,Y
26497,M,Married,0,College Graduate,Yes,85000,272312,96,1,Rural,Y
22724,F,Married,1,College Graduate,Yes,71004,268996,12,1,Rural,Y
8089,M,Single,0,College Graduate,No,38000,138917,84,0,Urban,N
23493,F,Single,2,College Graduate,No,74000,283102,84,1,Rural,N
25882,M,Single,2,College Graduate,No,83000,371702,84,1,Rural,Y
31220,M,Married,2,College Graduate,No,130000,486770,48,1,Rural,Y
265,F,Married,0,High School Graduate,No,12996,83692,96,1,Urban,N
8382,M,Married,0,College Graduate,No,38400,178609,84,1,Urban,Y
27975,M,Married,1,College Graduate,Yes,95000,160310,120,1,Urban,Y
15277,F,Single,2,College Graduate,No,52000,273793,96,1,Rural,Y
25645,M,Married,0,College Graduate,Yes,81504,224544,12,1,Rural,Y
30657,M,Married,0,College Graduate,Yes,120000,273898,108,1,Urban,N
19230,M,Married,0,College Graduate,Yes,60400,76691,12,1,Rural,N
25619,M,Married,0,College Graduate,Yes,81000,345402,24,1,Rural,Y
8333,F,Single,1,College Graduate,No,38400,197006,12,1,Urban,Y
24306,M,Married,0,College Graduate,Yes,76000,171976,24,1,Urban,Y
4632,M,Married,0,High School Graduate,No,30000,363918,36,1,Urban,Y
19234,F,Single,0,College Graduate,Yes,60480,499717,24,1,Urban,N
11099,M,Married,1,College Graduate,No,44000,99935,24,1,Rural,Y
11876,F,Married,0,College Graduate,No,45000,371986,108,1,Urban,Y
4267,M,Married,1,High School Graduate,No,30000,366842,6,1,Rural,Y
18658,M,Married,1,College Graduate,No,60000,428914,96,1,Urban,N
22526,M,Single,3+,College Graduate,Yes,70000,186126,84,0,Urban,N
9615,F,Married,0,College Graduate,No,40040,,96,1,Urban,N
11958,M,Married,0,College Graduate,No,45000,153151,108,1,Urban,Y
14628,M,Single,0,College Graduate,Yes,50400,89224,36,0,Rural,Y
23803,M,Single,0,College Graduate,Yes,75000,339350,84,1,Urban,Y
2590,F,Single,0,High School Graduate,No,25200,423854,24,1,Rural,N
6653,M,Married,0,High School Graduate,No,35000,376103,36,1,Rural,Y
18491,F,Married,1,College Graduate,No,60000,209892,24,1,Rural,N
22003,M,Single,0,College Graduate,Yes,69996,293281,6,1,Rural,Y
23494,F,Single,0,College Graduate,Yes,74000,204821,12,1,Rural,Y
27244,M,Married,2,College Graduate,No,90000,238142,36,1,Urban,Y
26963,M,Single,0,College Graduate,No,89000,231279,60,1,Urban,N
11838,M,Single,2,College Graduate,No,45000,187232,24,1,Urban,Y
21745,F,Married,0,College Graduate,No,68580,256515,12,1,Urban,Y
29691,M,Married,3+,College Graduate,No,110000,307119,84,0,Urban,N
18866,M,Single,0,College Graduate,No,60000,352445,84,1,Urban,Y
21163,F,Single,3+,College Graduate,No,66000,239427,96,1,Rural,N
14468,M,Single,3+,College Graduate,No,50000,357424,36,1,Rural,Y
8412,M,Single,2,College Graduate,No,38400,374942,6,1,Urban,Y
27449,M,Single,0,College Graduate,No,91000,484689,36,1,Urban,N
7206,M,Single,0,College Graduate,No,36000,260297,120,1,Rural,Y
16782,M,Single,0,College Graduate,No,55000,379441,48,1,Rural,Y
26909,F,Married,0,College Graduate,No,88000,312371,60,1,Rural,N
14571,M,Married,0,College Graduate,Yes,50049,248629,6,0,Rural,Y
12144,F,Single,0,College Graduate,No,45996,328262,24,0,Urban,N
3331,F,Single,1,High School Graduate,No,28000,223477,96,1,Rural,Y
17546,M,Single,3+,College Graduate,No,57600,390755,6,0,Urban,Y
927,M,Married,1,College Graduate,No,19000,141373,108,1,Urban,Y
9188,F,Married,0,College Graduate,No,40000,109058,24,1,Urban,Y
12243,F,Married,0,College Graduate,No,46000,352199,24,1,Rural,N
24170,M,Single,1,College Graduate,Yes,75000,103850,72,1,Rural,Y
20560,F,Single,0,College Graduate,Yes,65000,185260,120,1,Rural,Y
9380,F,Married,1,College Graduate,No,40000,,108,1,Rural,Y
24703,M,Married,1,College Graduate,No,78000,480827,60,1,Urban,Y
7628,M,Married,2,College Graduate,No,36500,488502,72,1,Rural,Y
6360,F,Single,1,High School Graduate,No,34320,311058,108,1,Urban,Y
23429,M,Married,2,College Graduate,Yes,74000,106892,12,0,Rural,Y
11809,M,Single,2,College Graduate,No,45000,462554,36,1,Rural,Y
16227,M,Single,0,College Graduate,Yes,54400,378371,84,1,Rural,Y
3489,F,Married,2,College Graduate,No,28800,98367,96,1,Rural,Y
697,M,Single,3+,College Graduate,No,17640,178098,60,1,Urban,Y
21673,M,Married,0,College Graduate,Yes,68000,345663,120,1,Urban,Y
10968,M,Single,0,College Graduate,No,44000,233702,24,0,Urban,Y
12005,M,Single,0,College Graduate,No,45336,465094,36,1,Urban,Y
7387,M,Married,2,College Graduate,No,36000,315447,6,1,Rural,Y
6074,M,Single,3+,College Graduate,No,33996,66535,12,0,Urban,N
26882,M,Married,3+,College Graduate,No,88000,267234,36,1,Urban,N
28508,F,Married,0,College Graduate,Yes,99000,144725,24,1,Rural,N
6491,M,Single,0,High School Graduate,No,35000,222596,60,1,Rural,Y
20026,F,Single,0,College Graduate,No,63000,83353,48,1,Rural,Y
7463,M,Single,0,High School Graduate,No,36000,449226,60,1,Urban,Y
28717,M,Single,0,College Graduate,No,100000,329141,72,0,Rural,Y
2867,M,Married,2,High School Graduate,No,26400,391548,36,0,Rural,N
1836,M,Single,0,College Graduate,No,23830,402031,84,1,Rural,Y
6461,M,Married,2,High School Graduate,No,34900,412888,120,1,Urban,Y
4698,F,Single,0,College Graduate,No,30028,448423,24,1,Rural,Y
30545,F,Single,3+,College Graduate,No,120000,64740,72,1,Urban,Y
3714,M,Married,0,High School Graduate,No,29004,485326,36,0,Urban,N
9311,F,Single,0,College Graduate,No,40000,420188,60,1,Urban,Y
22036,M,Single,0,College Graduate,Yes,69996,234794,120,1,Urban,N
8913,M,Single,0,College Graduate,No,39996,54787,108,1,Urban,N
15539,M,Single,0,College Graduate,No,53000,404547,84,1,Rural,Y
13376,M,Single,0,College Graduate,No,48700,491499,60,1,Urban,Y
21926,M,Married,3+,College Graduate,Yes,69500,,108,1,Rural,N
3021,M,Single,3+,High School Graduate,No,27000,83664,12,1,Rural,N
24130,M,Single,3+,College Graduate,No,75000,117504,60,1,Urban,Y
14905,F,Married,2,College Graduate,Yes,51500,494577,72,1,Rural,Y
22870,M,Single,2,College Graduate,Yes,72000,166609,48,1,Rural,N
4029,M,Married,2,High School Graduate,No,30000,481402,12,1,Rural,N
18333,F,Married,0,College Graduate,Yes,60000,144436,60,1,Urban,Y
16815,M,Married,0,College Graduate,Yes,55000,74674,96,1,Urban,Y
16189,M,Single,1,College Graduate,Yes,54080,316589,84,1,Urban,N
3321,M,Married,0,College Graduate,No,28000,494383,12,1,Rural,N
23349,F,Married,1,College Graduate,No,73063,232306,72,1,Urban,Y
16982,M,Single,2,College Graduate,Yes,56000,328943,84,1,Rural,Y
2735,F,Single,0,High School Graduate,No,26000,333558,108,1,Urban,Y
2389,M,Married,2,High School Graduate,No,25000,228376,60,1,Urban,N
7018,F,Single,3+,High School Graduate,No,35500,136704,6,0,Rural,Y
17382,M,Single,0,College Graduate,No,57000,135988,48,0,Urban,Y
21932,M,Single,2,College Graduate,Yes,69500,288678,72,1,Rural,Y
26295,M,Single,0,College Graduate,No,85000,130657,60,1,Urban,Y
13744,F,Married,2,College Graduate,No,50000,387809,24,1,Urban,Y
630,M,Married,0,College Graduate,No,16800,216295,60,1,Rural,Y
22834,M,Single,3+,College Graduate,No,72000,56105,72,0,Rural,Y
12850,M,Single,3+,College Graduate,No,48000,334174,36,1,Urban,N
7592,M,Single,2,High School Graduate,No,36153,262414,36,0,Rural,Y
25993,M,Single,0,College Graduate,Yes,84000,396447,48,1,Urban,N
29592,M,Single,0,College Graduate,Yes,108000,290838,12,1,Urban,Y
15268,M,Single,0,College Graduate,No,52000,464324,120,1,Rural,Y
29110,F,Married,0,College Graduate,Yes,102996,187634,108,0,Urban,Y
3695,M,Single,0,College Graduate,No,29000,477013,24,1,Urban,Y
23425,F,Single,1,College Graduate,No,74000,148292,36,1,Rural,Y
4073,M,Married,0,High School Graduate,No,30000,209488,36,1,Rural,Y
509,M,Single,1,High School Graduate,No,15456,,96,1,Rural,Y
17354,F,Married,1,College Graduate,Yes,57000,,120,1,Rural,Y
2712,F,Single,0,High School Graduate,No,26000,238517,48,1,Rural,Y
22540,M,Single,2,College Graduate,No,70000,389574,60,1,Rural,Y
16565,M,Married,0,College Graduate,Yes,55000,397485,48,1,Rural,N
821,M,Single,2,High School Graduate,No,18000,106477,108,1,Rural,Y
22329,F,Married,0,College Graduate,No,70000,331228,120,1,Rural,Y
12294,M,Single,0,College Graduate,No,46000,167383,96,1,Urban,Y
11145,M,Married,2,College Graduate,No,44000,367305,6,1,Rural,Y
14299,M,Single,3+,College Graduate,No,50000,206353,6,1,Urban,Y
26904,F,Married,1,College Graduate,No,88000,155825,12,1,Urban,Y
20810,M,Married,3+,College Graduate,Yes,65000,449113,24,1,Rural,Y
16589,M,Married,0,College Graduate,Yes,55000,255249,108,0,Urban,Y
7626,F,Married,0,High School Graduate,No,36500,76282,24,1,Rural,Y
20844,M,Married,0,College Graduate,Yes,65000,376401,96,1,Urban,N
20023,F,Single,1,College Graduate,Yes,63000,63825,24,0,Rural,Y
26175,M,Married,0,College Graduate,Yes,84996,,108,0,Urban,Y
30315,M,Married,3+,College Graduate,Yes,118000,222466,48,1,Rural,Y
5801,F,Single,0,High School Graduate,No,33000,175474,36,0,Rural,Y
27950,M,Single,0,College Graduate,Yes,95000,486780,36,0,Rural,N
30206,M,Married,0,College Graduate,No,115200,346986,108,1,Rural,Y
19412,M,Single,0,College Graduate,Yes,61200,355565,12,1,Rural,Y
28955,F,Married,2,College Graduate,No,100840,125751,72,1,Rural,N
19639,M,Single,0,College Graduate,Yes,62000,281800,72,1,Urban,N
21283,M,Single,2,College Graduate,No,66500,479515,36,1,Urban,Y
7051,M,Married,0,College Graduate,No,35970,146738,6,1,Urban,Y
20009,F,Married,0,College Graduate,Yes,63000,338042,60,0,Rural,Y
4990,M,Single,0,High School Graduate,No,31200,273552,120,1,Urban,N
15400,M,Single,1,College Graduate,No,52680,341021,24,1,Urban,Y
1220,F,Single,0,College Graduate,No,20004,273364,24,1,Rural,Y
15876,F,Single,1,College Graduate,No,54000,349406,6,1,Urban,Y
29271,F,Married,2,College Graduate,No,105000,245523,84,1,Urban,Y
